Name,scenario-beta-same-Expected Spread,scenario-beta-same-Faster Spread,scenario-beta-same-Slower Spread,scenario-beta-lifted-Expected Spread,scenario-beta-lifted-Faster Spread,scenario-beta-lifted-Slower Spread,scenario-beta-tight-Expected Spread,scenario-beta-tight-Faster Spread,scenario-beta-tight-Slower Spread
Luxembourg,0.8658679392,0.9949547797,0.7367810987,0.9658679392,1.09495478,0.8367810987,1.065867939,1.19495478,0.9367810987
Latvia,0.4696321725,0.6957415762,0.2435227688,0.5696321725,0.7957415762,0.3435227688,0.6696321725,0.8957415762,0.4435227688
Morocco,0.6800277417,0.8073961609,0.5526593225,0.7800277417,0.9073961609,0.6526593225,0.8800277417,1.007396161,0.7526593225
"Moldova, Republic of",0.4756721381,0.547638399,0.4037058771,0.5756721381,0.647638399,0.5037058771,0.6756721381,0.747638399,0.6037058771
Madagascar,0.7011373717,0.802296657,0.5999780863,0.8011373717,0.902296657,0.6999780863,0.9011373717,1.002296657,0.7999780863
Maldives,0.4704289934,0.5450307943,0.3958271924,0.5704289934,0.6450307943,0.4958271924,0.6704289934,0.7450307943,0.5958271924
Mexico,0.5384862281,0.5574464325,0.5195260236,0.6384862281,0.6574464325,0.6195260236,0.7384862281,0.7574464325,0.7195260236
Macedonia,0.5012662672,0.5554810499,0.4470514846,0.6012662672,0.6554810499,0.5470514846,0.7012662672,0.7554810499,0.6470514846
Mali,0.4720728764,0.5842341016,0.3599116513,0.5720728764,0.6842341016,0.4599116513,0.6720728764,0.7842341016,0.5599116513
Malta,0.3053407647,0.4596569353,0.151024594,0.4053407647,0.5596569353,0.251024594,0.5053407647,0.6596569353,0.351024594
Montenegro,1.084833259,1.27069936,0.8989671575,1.184833259,1.37069936,0.9989671575,1.284833259,1.47069936,1.098967158
Mongolia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mozambique,0.4902840636,0.5862396168,0.3943285105,0.5902840636,0.6862396168,0.4943285105,0.6902840636,0.7862396168,0.5943285105
Mauritania,0.5127502293,0.6251711113,0.4003293474,0.6127502293,0.7251711113,0.5003293474,0.7127502293,0.8251711113,0.6003293474
Malawi,0.7250149,0.8401598361,0.6098699638,0.8250149,0.9401598361,0.7098699638,0.9250149,1.040159836,0.8098699638
Malaysia,0.2862955303,0.3727440881,0.1998469724,0.3862955303,0.4727440881,0.2998469724,0.4862955303,0.5727440881,0.3998469724
Namibia,1.139841295,1.347510191,0.932172399,1.239841295,1.447510191,1.032172399,1.339841295,1.547510191,1.132172399
Niger,0.4793774224,0.6422563884,0.3164984564,0.5793774224,0.7422563884,0.4164984564,0.6793774224,0.8422563884,0.5164984564
