Name,Country,Date Start,Date end intended,Implementing State/Province,Implementing City,Description of measure implemented,Keywords,Exceptions,Applies To,Target country,Target region,Tests per day,Tests conducted to date,Contacts traced to date,Column 1,Source,Target state,Target city
China,China,"Feb 06, 2020",,Guangdong,,Sichuan[546] and Guangdong[547] rolled out measures to help small and medium-sized enterprises in response to the epidemic.,economic stimulus,,,,,,,,,https://web.archive.org/web/20200206091807/https://www.jiemian.com/article/3949971.html,,
China,China,"Feb 06, 2020",,,,Tencent news issued a statement saying screenshots of its Epidemic Tracker circulating on the Internet showing substantially higher numbers are doctored.,epidemic data,,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-548,,
China,China,"Feb 06, 2020",,,,"China announces that they will halve the tariff on US$75 billion goods imported from America, and Chinese official media Global Times commented that China is considering the use of disaster provision in the US-China Phase One trade deal, which was signed in the previous month","deregulation, economic stimulus",,,,,,,,,https://news.now.com/home/finance/player?newsId=379605,,
China,China,"Feb 07, 2020",,Hubei,,"On 7 February, the Joint Defence and Control Mechanism of the State Council introduced a scheme of ""one province for one city"", where 16 provinces would provide medical force support for every city in Hubei except Wuhan",medical aid,,,,,,,,,http://www.bjnews.com.cn/news/2020/02/07/685879.html,,
China,China,"Feb 07, 2020",,Hangzhou,,"Hangzhou imposed a temporary ban on retail pharmacies selling fever and cough medicines, asking citizens with the symptoms to see a doctor instead",encouraging symptomatic people to seek tests,,,,,,,,,https://www.jiemian.com/article/3958003.html,,
China,China,"Feb 08, 2020",,Shenzhen,,"Shenzhen[557][558] and Shanghai[559][560][561] roll out measures to support companies and reduce costs, including measures estimated to reduce ¥30 billion (US$4.3 billion) in Shanghai.",economic stimulus,,,,,,,,,https://www.jiemian.com/article/3958973.html,,
China,China,"Feb 08, 2020",,Shanghai,,"Shenzhen[557][558] and Shanghai[559][560][561] roll out measures to support companies and reduce costs, including measures estimated to reduce ¥30 billion (US$4.3 billion) in Shanghai.",economic stimulus,,,,,,,,,https://www.jiemian.com/article/3958973.html,,
China,China,"Feb 08, 2020",,Hubei,,The National Development and Reform Commission (NDRC) issued an additional ¥200 million (US$28.66 million) for Hubei to improve the treatment capacity of patients with severe infections,treatment capacity,,,,,,,,,https://www.jiemian.com/article/3958370.html,,
China,China,"Feb 08, 2020",,Leishenshan,,Leishenshan Hospital begins operation.,"hospital construction, treatment capacity",,,,,,,,,https://www.jiemian.com/article/3959045.html,,
China,China,"Feb 08, 2020",,,,"Business has now resumed in all 30 mainland province-level divisions, apart from Hubei",business resumed,,,,,,,,,https://www.jiemian.com/article/3968076.html,,
China,China,"Feb 10, 2020",,,,Tibetan New Year public activities due to occur on 24 February were suspended due to the Coronavirus disease 2019 epidemic.,event cancellation,,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-573,,
